0.0,0.4965
0.01,0.561
0.02,0.545
0.03,0.5555
0.04,0.548
0.05,0.5465
0.06,0.5535
0.07,0.5455
0.08,0.5615
0.09,0.555
0.1,0.569
0.11,0.566
0.12,0.5645
0.13,0.544
0.14,0.558
0.15,0.5565
0.16,0.498
0.17,0.5545
0.18,0.549
0.19,0.5455
0.2,0.544
0.21,0.5355
0.22,0.5655
0.23,0.5575
0.24,0.5515
0.25,0.558
0.26,0.562
0.27,0.546
0.28,0.5355
0.29,0.5255
0.3,0.539
0.31,0.5295
0.32,0.5475
0.33,0.5335
0.34,0.5225
0.35000000000000003,0.535
0.36,0.425
0.37,0.5295
0.38,0.5565
0.39,0.5175
0.4,0.486
0.41000000000000003,0.5065
0.42,0.523
0.43,0.5155
0.44,0.5125
0.45,0.724
0.46,0.727
0.47000000000000003,0.7275
0.48,0.7275
0.49,0.7275
0.5,0.4555
